row_id,age,job,marital,education,balance,housing,loan,contact,month,campaign,pdays,previous,poutcome,y,y_binary,PreviouslyContacted,HasAnyLoan,BalanceGroup
0,36,technician,divorced,secondary,861,no,no,telephone,aug,2,-1,0,unknown,no,0,0,0,Low
1,24,student,single,secondary,4126,no,no,cellular,apr,4,185,7,failure,yes,1,1,0,Medium
2,44,technician,single,secondary,244,yes,no,cellular,aug,4,-1,0,unknown,yes,1,0,1,Low
3,48,unemployed,married,secondary,0,no,no,telephone,jul,11,-1,0,unknown,no,0,0,0,Negative
4,38,technician,married,secondary,257,no,no,cellular,aug,10,-1,0,unknown,no,0,0,0,Low
5,48,blue-collar,married,secondary,1513,no,yes,cellular,jul,1,-1,0,unknown,no,0,0,1,Medium
6,50,management,married,tertiary,4315,yes,no,cellular,jul,11,-1,0,unknown,no,0,0,1,Medium
7,46,services,married,tertiary,-780,no,yes,cellular,feb,1,-1,0,unknown,no,0,0,1,Negative
8,46,services,married,tertiary,474,no,no,unknown,jun,2,-1,0,unknown,no,0,0,0,Low
9,45,admin.,married,secondary,248,no,no,cellular,jul,2,-1,0,unknown,no,0,0,0,Low
10,63,retired,married,tertiary,262,no,no,cellular,jul,1,-1,0,unknown,no,0,0,0,Low
11,46,blue-collar,married,primary,10333,yes,no,unknown,jun,4,-1,0,unknown,no,0,0,1,High
12,55,unknown,married,tertiary,3567,no,no,cellular,apr,1,-1,0,unknown,no,0,0,0,Medium
13,50,management,married,secondary,732,no,no,cellular,apr,7,-1,0,unknown,no,0,0,0,Low
14,59,retired,divorced,secondary,679,no,no,cellular,jul,4,-1,0,unknown,yes,1,0,0,Low
15,59,admin.,married,secondary,506,yes,no,cellular,may,1,-1,0,unknown,no,0,0,1,Low
16,60,management,married,secondary,725,yes,no,cellular,jul,1,-1,0,unknown,no,0,0,1,Low
17,52,technician,married,tertiary,523,yes,yes,cellular,jul,1,-1,0,unknown,no,0,0,1,Low
18,53,blue-collar,married,secondary,0,no,yes,telephone,jul,4,-1,0,unknown,no,0,0,1,Negative
19,50,management,married,tertiary,412,yes,yes,cellular,aug,5,-1,0,unknown,no,0,0,1,Low
20,25,services,single,secondary,-439,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Negative
21,44,admin.,married,secondary,72,yes,yes,unknown,may,2,-1,0,unknown,no,0,0,1,Low
22,39,blue-collar,married,primary,2715,yes,no,unknown,jun,3,-1,0,unknown,no,0,0,1,Medium
23,50,unemployed,married,secondary,1772,no,no,cellular,jul,4,-1,0,unknown,no,0,0,0,Medium
24,55,services,divorced,primary,96,yes,yes,unknown,may,2,-1,0,unknown,no,0,0,1,Low
25,52,management,married,tertiary,249,yes,yes,telephone,may,1,-1,0,unknown,no,0,0,1,Low
26,37,admin.,married,secondary,6127,yes,no,cellular,apr,2,-1,0,unknown,no,0,0,1,High
27,39,unemployed,divorced,secondary,265,yes,no,unknown,may,1,555,2,other,yes,1,1,1,Low
28,37,entrepreneur,single,tertiary,1467,yes,yes,cellular,nov,1,-1,0,unknown,no,0,0,1,Medium
29,42,technician,married,secondary,370,no,no,unknown,jun,5,-1,0,unknown,no,0,0,0,Low
30,33,management,single,tertiary,12,no,no,cellular,aug,5,-1,0,unknown,no,0,0,0,Low
31,31,blue-collar,married,primary,26,yes,no,unknown,may,26,-1,0,unknown,no,0,0,1,Low
32,56,management,married,tertiary,0,no,no,cellular,nov,1,-1,0,unknown,no,0,0,0,Negative
33,44,management,single,secondary,-228,yes,yes,cellular,may,1,362,2,failure,no,0,1,1,Negative
34,52,technician,married,secondary,230,yes,yes,cellular,nov,4,-1,0,unknown,no,0,0,1,Low
35,37,entrepreneur,married,tertiary,2685,no,no,unknown,jun,2,-1,0,unknown,no,0,0,0,Medium
36,57,admin.,single,secondary,7400,yes,no,cellular,may,2,-1,0,unknown,no,0,0,1,High
37,48,technician,married,tertiary,9207,no,no,cellular,aug,3,-1,0,unknown,no,0,0,0,High
38,33,management,divorced,tertiary,47,no,no,cellular,nov,3,-1,0,unknown,no,0,0,0,Low
39,43,management,married,tertiary,177,no,no,unknown,jun,18,-1,0,unknown,no,0,0,0,Low
40,34,admin.,single,secondary,151,yes,no,cellular,may,1,370,1,other,yes,1,1,1,Low
41,33,blue-collar,married,unknown,2655,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,Medium
42,36,admin.,married,secondary,1031,no,no,cellular,jun,4,-1,0,unknown,yes,1,0,0,Medium
43,38,technician,married,secondary,1448,yes,no,cellular,nov,1,-1,0,unknown,no,0,0,1,Medium
44,39,technician,divorced,tertiary,113,yes,yes,cellular,apr,2,-1,0,unknown,no,0,0,1,Low
45,29,blue-collar,single,secondary,-125,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,Negative
46,50,blue-collar,married,primary,1549,yes,no,cellular,may,2,299,6,other,no,0,1,1,Medium
47,52,management,married,tertiary,3634,no,no,cellular,feb,8,-1,0,unknown,yes,1,0,0,Medium
48,58,admin.,divorced,secondary,1713,no,no,unknown,may,2,-1,0,unknown,no,0,0,0,Medium
49,59,management,single,tertiary,68,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
50,41,admin.,married,secondary,-18,yes,yes,unknown,jun,6,-1,0,unknown,no,0,0,1,Negative
51,23,technician,single,unknown,231,yes,no,cellular,may,3,367,1,other,no,0,1,1,Low
52,36,blue-collar,married,tertiary,9,yes,no,unknown,jun,3,-1,0,unknown,no,0,0,1,Low
53,46,blue-collar,married,primary,44,no,yes,cellular,jul,9,-1,0,unknown,no,0,0,1,Low
54,31,unemployed,married,secondary,31,yes,no,cellular,jul,6,-1,0,unknown,no,0,0,1,Low
55,70,retired,married,primary,2346,no,no,cellular,feb,1,184,5,failure,yes,1,1,0,Medium
56,25,blue-collar,single,secondary,579,yes,no,unknown,may,4,-1,0,unknown,no,0,0,1,Low
57,48,unemployed,married,tertiary,-471,yes,no,unknown,may,7,-1,0,unknown,no,0,0,1,Negative
58,57,housemaid,divorced,tertiary,3767,no,no,cellular,feb,6,-1,0,unknown,no,0,0,0,Medium
59,42,technician,divorced,secondary,1689,yes,no,cellular,jul,2,-1,0,unknown,no,0,0,1,Medium
60,26,student,single,unknown,689,no,no,cellular,may,2,-1,0,unknown,yes,1,0,0,Low
61,43,admin.,single,secondary,733,yes,no,cellular,nov,3,-1,0,unknown,yes,1,0,1,Low
62,33,services,married,secondary,5034,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,High
63,27,admin.,married,secondary,4,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
64,29,blue-collar,single,secondary,-20,yes,no,unknown,may,2,-1,0,unknown,yes,1,0,1,Negative
65,44,services,single,secondary,0,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Negative
66,48,management,married,tertiary,269,yes,no,cellular,jul,2,-1,0,unknown,no,0,0,1,Low
67,32,technician,single,secondary,792,no,no,cellular,aug,2,-1,0,unknown,no,0,0,0,Low
68,50,blue-collar,married,primary,1064,yes,no,cellular,aug,2,-1,0,unknown,no,0,0,1,Medium
69,44,management,married,primary,5418,yes,yes,cellular,jul,5,-1,0,unknown,no,0,0,1,High
70,36,management,single,tertiary,7606,yes,no,unknown,may,1,-1,0,unknown,yes,1,0,1,High
71,58,admin.,married,secondary,92,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
72,58,management,divorced,tertiary,1533,no,no,unknown,may,2,-1,0,unknown,no,0,0,0,Medium
73,41,admin.,single,secondary,-22,yes,no,unknown,jun,2,-1,0,unknown,no,0,0,1,Negative
74,28,technician,married,tertiary,107,yes,no,cellular,jul,13,-1,0,unknown,no,0,0,1,Low
75,33,blue-collar,single,secondary,687,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
76,26,technician,single,secondary,1275,yes,no,unknown,jun,9,-1,0,unknown,no,0,0,1,Medium
77,47,unemployed,married,secondary,926,no,no,cellular,aug,1,403,5,success,yes,1,1,0,Low
78,34,blue-collar,married,secondary,29,yes,no,cellular,may,5,-1,0,unknown,yes,1,0,1,Low
79,49,blue-collar,married,secondary,3348,no,no,cellular,aug,1,-1,0,unknown,no,0,0,0,Medium
80,44,management,married,tertiary,368,no,no,cellular,jul,3,-1,0,unknown,no,0,0,0,Low
81,37,blue-collar,single,primary,0,yes,yes,cellular,jul,1,-1,0,unknown,no,0,0,1,Negative
82,31,admin.,married,secondary,393,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
83,57,housemaid,married,primary,473,no,no,unknown,jun,1,-1,0,unknown,no,0,0,0,Low
84,31,unemployed,single,secondary,199,yes,no,unknown,may,1,-1,0,unknown,no,0,0,1,Low
85,50,technician,married,unknown,413,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
86,46,blue-collar,married,primary,1114,yes,no,unknown,may,3,-1,0,unknown,no,0,0,1,Medium
87,65,unemployed,married,secondary,3195,no,no,telephone,mar,1,-1,0,unknown,yes,1,0,0,Medium
88,31,admin.,single,secondary,554,yes,no,cellular,feb,1,6,1,failure,no,0,1,1,Low
89,29,self-employed,married,tertiary,0,yes,yes,unknown,jun,3,-1,0,unknown,no,0,0,1,Negative
90,51,management,married,tertiary,5108,yes,no,cellular,oct,1,102,8,other,no,0,1,1,High
91,35,admin.,married,secondary,5250,yes,no,cellular,apr,2,146,1,failure,no,0,1,1,High
92,40,services,divorced,secondary,5745,yes,yes,unknown,may,1,-1,0,unknown,no,0,0,1,High
93,42,management,married,tertiary,2816,no,no,cellular,nov,2,-1,0,unknown,yes,1,0,0,Medium
94,24,student,single,secondary,1719,no,no,cellular,aug,4,-1,0,unknown,no,0,0,0,Medium
95,59,housemaid,divorced,primary,259,no,no,cellular,jul,4,-1,0,unknown,no,0,0,0,Low
96,36,services,married,primary,0,yes,no,unknown,jun,1,-1,0,unknown,yes,1,0,1,Negative
97,37,blue-collar,married,primary,508,yes,yes,cellular,may,1,-1,0,unknown,no,0,0,1,Low
98,59,housemaid,married,primary,935,yes,no,cellular,nov,3,166,2,failure,no,0,1,1,Low
99,25,blue-collar,married,secondary,53,yes,no,unknown,may,2,-1,0,unknown,no,0,0,1,Low
100,31,technician,married,secondary,-556,yes,no,cellular,aug,2,-1,0,unknown,no,0,0,1,Negative
101,75,retired,divorced,primary,3881,yes,no,cellular,feb,3,-1,0,unknown,yes,1,0,1,Medium
102,39,technician,married,secondary,425,yes,no,cellular,aug,3,-1,0,unknown,no,0,0,1,Low
