number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,0.3562155877572068,2026-07-19 15:49:43.632665,2026-07-19 15:49:45.867469,0 days 00:00:02.234804,0.7045980821176709,0.11616722433639892,0.17254716573280354,5,5,181,5.3994844097874335,0.7046065241548528,COMPLETE
1,0.30874961708022924,2026-07-19 15:49:45.869896,2026-07-19 15:49:47.846634,0 days 00:00:01.976738,0.7243186887373967,0.36364993441420124,0.08341106432362087,2,8,242,0.2327067708383781,0.9413549242801476,COMPLETE
2,0.31132352473958563,2026-07-19 15:49:47.846776,2026-07-19 15:49:49.777262,0 days 00:00:01.930486,0.6988228512282146,0.5842892970704363,0.048164145309070844,4,3,162,0.5404103854647329,0.8641485131528328,COMPLETE
3,0.3124184300764005,2026-07-19 15:49:49.777346,2026-07-19 15:49:51.503093,0 days 00:00:01.725747,0.6662576444519992,1.2150897038028767,0.10508421338691762,2,5,203,0.2193048555664369,0.8573450991017149,COMPLETE
4,0.3487151361158419,2026-07-19 15:49:51.503214,2026-07-19 15:49:52.968166,0 days 00:00:01.464952,0.6841852399022343,1.3684660530243138,0.17160445029754812,6,7,97,0.7591104805282696,0.7566148192106797,COMPLETE
5,0.2509062423110921,2026-07-19 15:49:52.968235,2026-07-19 15:49:53.976373,0 days 00:00:01.008138,0.8818827995238937,0.6234221521788219,0.04407984038169244,2,8,113,1.0968217207529523,0.7405729935600059,COMPLETE
6,0.2847179007203164,2026-07-19 15:49:53.976474,2026-07-19 15:49:56.936732,0 days 00:00:02.960258,0.9631895726496771,1.1957999576221703,0.017398074711291726,6,7,228,6.978281265126034,0.9788246295474662,COMPLETE
7,0.19871772954680225,2026-07-19 15:49:56.936805,2026-07-19 15:49:57.821748,0 days 00:00:00.884943,0.7449721611208636,1.6574750183038587,0.017987863473362915,2,3,103,0.5170191786366992,0.7860370513913187,COMPLETE
8,0.27296150131286945,2026-07-19 15:49:57.821817,2026-07-19 15:49:59.021946,0 days 00:00:01.200129,0.9954104278101811,1.5444895385933148,0.05082341959721458,2,7,156,0.24970737145052724,0.6760927252879199,COMPLETE
9,0.331591636770296,2026-07-19 15:49:59.022021,2026-07-19 15:50:00.074132,0 days 00:00:01.052111,0.6759156281069316,0.7169314570885452,0.11506408247250169,5,6,81,0.17050539260269293,0.919944621340081,COMPLETE
10,0.26232998368167687,2026-07-19 15:50:00.074196,2026-07-19 15:50:03.263914,0 days 00:00:03.189718,0.809475010647044,0.03118959931691223,0.010181283131439633,4,1,337,8.54094091852927,0.6575775509708266,COMPLETE
11,0.35922326455286496,2026-07-19 15:50:03.263985,2026-07-19 15:50:05.548003,0 days 00:00:02.284018,0.7796707502895124,1.9552269562998232,0.1984408595548792,6,5,292,2.732597424792753,0.7500490079557848,COMPLETE
12,0.3597141632668312,2026-07-19 15:50:05.548071,2026-07-19 15:50:05.793430,0 days 00:00:00.245359,0.7775548061334596,1.9851023546320756,0.1994092033481727,5,4,310,2.8640835594838188,0.7195213998898036,COMPLETE
13,0.35908556488079996,2026-07-19 15:50:05.793524,2026-07-19 15:50:08.301266,0 days 00:00:02.507742,0.7880905937022361,1.9987248772831026,0.1970053809128401,5,4,310,2.589970230648018,0.8000511037481585,COMPLETE
14,0.35570026223992796,2026-07-19 15:50:08.301336,2026-07-19 15:50:10.808922,0 days 00:00:02.507586,0.8443074376874904,1.9901634052476254,0.1252546600104874,6,2,282,2.6888394322393876,0.7214620543907678,COMPLETE
15,0.33960442874831626,2026-07-19 15:50:10.808988,2026-07-19 15:50:12.834390,0 days 00:00:02.025402,0.7758682541337154,1.7443593767488492,0.07035048118838949,4,4,276,2.244050760005189,0.8153126865835206,COMPLETE
16,0.3612173573729285,2026-07-19 15:50:12.834496,2026-07-19 15:50:15.398883,0 days 00:00:02.564387,0.8875140545692508,1.7986120268524521,0.14012800783208834,5,5,335,1.523394235058171,0.699554484578323,COMPLETE
17,0.3528883514510694,2026-07-19 15:50:15.398951,2026-07-19 15:50:17.835587,0 days 00:00:02.436636,0.9044376631258156,1.7485143207368186,0.12478317336403506,3,4,348,1.3689585796484478,0.6950152275930319,COMPLETE
18,0.35473119854844337,2026-07-19 15:50:17.835652,2026-07-19 15:50:20.744232,0 days 00:00:02.908580,0.9182376996172656,1.4988044418444808,0.07455439698585895,5,3,317,4.493584903359232,0.6618841880257174,COMPLETE
19,0.3538061575864879,2026-07-19 15:50:20.744390,2026-07-19 15:50:22.726146,0 days 00:00:01.981756,0.8376523587725776,0.9471195491784817,0.15249887856358738,4,6,245,1.3478915057492926,0.7741484668423313,COMPLETE
